variety temperature sunshine yield fuggle.id hallertau.id
fuggle    16.7      30        210       1         0        
fuggle    17.4      42        110       1         0        
fuggle    18.4      47        103       1         0        
fuggle    16.8      47        103       1         0        
fuggle    18.9      43         91       1         0        
fuggle    17.1      41         76       1         0        
fuggle    17.3      48         73       1         0        
fuggle    18.2      44         70       1         0        
fuggle    21.3      43         68       1         0        
fuggle    21.2      50         53       1         0        
fuggle    20.7      56         45       1         0        
fuggle    18.5      60         31       1         0        
hallertau 16.5      30        153       0         1        
hallertau 18.4      47         93       0         1        
hallertau 17.4      41         89       0         1        
hallertau 18.3      51         79       0         1        
hallertau 19.3      46         67       0         1        
hallertau 17.1      41         50       0         1        
hallertau 19.2      45         47       0         1        
hallertau 17.3      48         42       0         1        
hallertau 19.8      57         23       0         1        
hallertau 21.2      53         19       0         1        
hallertau 20.6      57         19       0         1        
hallertau 21.4      41         15       0         1        
saaz      16.7      31        152       0         0        
saaz      18.5      49         96       0         0        
saaz      17.9      40         86       0         0        
saaz      18.1      52         72       0         0        
saaz      17.1      41         44       0         0        
saaz      18.7      47         43       0         0        
saaz      17.7      46         36       0         0        
saaz      21.4      40         26       0         0        
saaz      19.1      48         22       0         0        
saaz      19.0      58         11       0         0        
saaz      20.9      52         10       0         0        
saaz      20.1      55          8       0         0 
